Zip/ZCTA,2010 Population,Land-Sq-Mi,Density Per Sq Mile
10007,6988,0.162,43135.80247
11205,40366,0.949,42535.30032
11102,34133,0.808,42243.81188
11419,47211,1.129,41816.6519
11368,109931,2.632,41767.09726
10467,97060,2.34,41478.63248
13024,1733,0.042,41261.90476
11549,2922,0.071,41154.92958
11214,88630,2.185,40562.92906
2115,28441,0.709,40114.24542
7030,50005,1.264,39560.91772
11211,90117,2.298,39215.4047
83844,1353,0.035,38657.14286
11223,78731,2.074,37960.94503
11210,62008,1.641,37786.71542
11416,24861,0.666,37328.82883
11229,80018,2.159,37062.52895
33131,14917,0.405,36832.09877
20009,47992,1.314,36523.59209
82073,72,0.002,36000
